split,strategy,contract_title,contract_words,chunk_count,span_count,covered_span_count,span_coverage
train,fixed_300_no_overlap,SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement,435,2,6,6,1.0
train,fixed_300_no_overlap,SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT,5346,18,15,13,0.8666666666666667
train,fixed_300_no_overlap,IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,11330,38,28,20,0.7142857142857143
train,fixed_300_no_overlap,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,9243,31,23,17,0.7391304347826086
train,fixed_300_no_overlap,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,10256,35,27,22,0.8148148148148148
train,fixed_300_no_overlap,ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,12904,44,42,38,0.9047619047619048
train,fixed_300_no_overlap,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,25087,84,93,80,0.8602150537634409
train,fixed_300_no_overlap,"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT",6029,21,45,41,0.9111111111111111
train,fixed_300_no_overlap,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement,2843,10,17,16,0.9411764705882353
train,fixed_300_no_overlap,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,2892,10,22,20,0.9090909090909091
train,fixed_300_no_overlap,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,1666,6,22,20,0.9090909090909091
train,fixed_300_no_overlap,JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,2356,8,18,17,0.9444444444444444
